slice_file_name,class,class_id,fold
Morepork.001.wav,Morepork,0,fold10_export
Morepork.002.wav,Morepork,0,fold10_export
Morepork.003.wav,Morepork,0,fold10_export
Morepork.004.wav,Morepork,0,fold10_export
Morepork.005.wav,Morepork,0,fold10_export
Morepork.006.wav,Morepork,0,fold10_export
Morepork.007.wav,Morepork,0,fold10_export
Morepork.008.wav,Morepork,0,fold10_export
Morepork.009.wav,Morepork,0,fold10_export
Morepork.010.wav,Morepork,0,fold10_export
Morepork.011.wav,Morepork,0,fold10_export
Morepork.012.wav,Morepork,0,fold10_export
Morepork.013.wav,Morepork,0,fold10_export
Morepork.014.wav,Morepork,0,fold10_export
Morepork.015.wav,Morepork,0,fold10_export
Morepork.016.wav,Morepork,0,fold10_export
Morepork.017.wav,Morepork,0,fold10_export
Morepork.018.wav,Morepork,0,fold10_export
Morepork.019.wav,Morepork,0,fold10_export
Morepork.020.wav,Morepork,0,fold10_export
Morepork.021.wav,Morepork,0,fold10_export
Morepork.022.wav,Morepork,0,fold10_export
Morepork.023.wav,Morepork,0,fold10_export
Morepork.024.wav,Morepork,0,fold10_export
Morepork.025.wav,Morepork,0,fold10_export
Morepork.026.wav,Morepork,0,fold10_export
Morepork.027.wav,Morepork,0,fold10_export
Morepork.028.wav,Morepork,0,fold10_export
Morepork.029.wav,Morepork,0,fold10_export
Morepork.030.wav,Morepork,0,fold10_export
Morepork.031.wav,Morepork,0,fold10_export
Morepork.032.wav,Morepork,0,fold10_export
Morepork.033.wav,Morepork,0,fold10_export
Morepork.034.wav,Morepork,0,fold10_export
Morepork.035.wav,Morepork,0,fold10_export
Morepork.036.wav,Morepork,0,fold10_export
Morepork.037.wav,Morepork,0,fold10_export
Morepork.038.wav,Morepork,0,fold10_export
Morepork.039.wav,Morepork,0,fold10_export
Morepork.040.wav,Morepork,0,fold10_export
Morepork.041.wav,Morepork,0,fold10_export
Morepork.042.wav,Morepork,0,fold10_export
Morepork.043.wav,Morepork,0,fold10_export
Morepork.044.wav,Morepork,0,fold10_export
Morepork.045.wav,Morepork,0,fold10_export
Morepork.046.wav,Morepork,0,fold10_export
Morepork.047.wav,Morepork,0,fold10_export
Morepork.048.wav,Morepork,0,fold10_export
Morepork.049.wav,Morepork,0,fold10_export
Morepork.050.wav,Morepork,0,fold10_export
Morepork.051.wav,Morepork,0,fold10_export
Morepork.052.wav,Morepork,0,fold10_export
Morepork.053.wav,Morepork,0,fold10_export
Morepork.054.wav,Morepork,0,fold10_export
Morepork.055.wav,Morepork,0,fold10_export
Morepork.056.wav,Morepork,0,fold10_export
Morepork.057.wav,Morepork,0,fold10_export
Morepork.058.wav,Morepork,0,fold10_export
Morepork.059.wav,Morepork,0,fold10_export
Morepork.060.wav,Morepork,0,fold10_export
Morepork.061.wav,Morepork,0,fold10_export
Morepork.062.wav,Morepork,0,fold10_export
Morepork.063.wav,Morepork,0,fold10_export
Morepork.064.wav,Morepork,0,fold10_export
Morepork.065.wav,Morepork,0,fold10_export
Morepork.066.wav,Morepork,0,fold10_export
Morepork.067.wav,Morepork,0,fold10_export
Morepork.068.wav,Morepork,0,fold10_export
Morepork.069.wav,Morepork,0,fold10_export
Morepork.070.wav,Morepork,0,fold10_export
Morepork.071.wav,Morepork,0,fold10_export
Morepork.072.wav,Morepork,0,fold10_export
Morepork.073.wav,Morepork,0,fold10_export
Morepork.074.wav,Morepork,0,fold10_export
Morepork.075.wav,Morepork,0,fold10_export
Morepork.076.wav,Morepork,0,fold10_export
Morepork.077.wav,Morepork,0,fold10_export
Morepork.078.wav,Morepork,0,fold10_export
Morepork.079.wav,Morepork,0,fold10_export
Morepork.080.wav,Morepork,0,fold10_export
Morepork.081.wav,Morepork,0,fold10_export
Morepork.082.wav,Morepork,0,fold10_export
Morepork.083.wav,Morepork,0,fold10_export
Morepork.084.wav,Morepork,0,fold10_export
Morepork.085.wav,Morepork,0,fold10_export
Morepork.086.wav,Morepork,0,fold10_export
Morepork.087.wav,Morepork,0,fold10_export
Morepork.088.wav,Morepork,0,fold10_export
Morepork.089.wav,Morepork,0,fold10_export
Morepork.090.wav,Morepork,0,fold10_export
Morepork.091.wav,Morepork,0,fold10_export
Morepork.092.wav,Morepork,0,fold10_export
Morepork.093.wav,Morepork,0,fold10_export
Morepork.094.wav,Morepork,0,fold10_export
Morepork.095.wav,Morepork,0,fold10_export
Morepork.096.wav,Morepork,0,fold10_export
Morepork.097.wav,Morepork,0,fold10_export
Morepork.098.wav,Morepork,0,fold10_export
Morepork.099.wav,Morepork,0,fold10_export
Morepork.100.wav,Morepork,0,fold10_export
Morepork.101.wav,Morepork,0,fold10_export
Morepork.102.wav,Morepork,0,fold10_export
Morepork.103.wav,Morepork,0,fold10_export
Morepork.104.wav,Morepork,0,fold10_export
Morepork.105.wav,Morepork,0,fold10_export
Morepork.106.wav,Morepork,0,fold10_export
Morepork.107.wav,Morepork,0,fold10_export
Morepork.108.wav,Morepork,0,fold10_export
Morepork.109.wav,Morepork,0,fold10_export
Morepork.110.wav,Morepork,0,fold10_export
Morepork.111.wav,Morepork,0,fold10_export
Morepork.112.wav,Morepork,0,fold10_export
Morepork.113.wav,Morepork,0,fold10_export
Morepork.114.wav,Morepork,0,fold10_export
Morepork.115.wav,Morepork,0,fold10_export
Morepork.116.wav,Morepork,0,fold10_export
Morepork.117.wav,Morepork,0,fold10_export
Morepork.118.wav,Morepork,0,fold10_export
Morepork.119.wav,Morepork,0,fold10_export
Morepork.120.wav,Morepork,0,fold10_export
Morepork.121.wav,Morepork,0,fold10_export
Morepork.122.wav,Morepork,0,fold10_export
Morepork.123.wav,Morepork,0,fold10_export
Morepork.124.wav,Morepork,0,fold10_export
Morepork.125.wav,Morepork,0,fold10_export
Morepork.126.wav,Morepork,0,fold10_export
Morepork.127.wav,Morepork,0,fold10_export
Morepork.128.wav,Morepork,0,fold10_export
Morepork.129.wav,Morepork,0,fold10_export
Morepork.130.wav,Morepork,0,fold10_export
Morepork.131.wav,Morepork,0,fold10_export
